,id,screen_name,followers_count,friends_count,favourites_count
535,1460678457835376655,Boena25597771,0,34,3
536,180492765,Piotr_Maciazek,10158,1221,23828
537,3182403010,Mroczkowski_J,35,770,2
538,983745281576636417,mar_luniewski,1220,1725,53182
539,196994616,eucopresident,1203995,418,225
540,1008658469262675968,PoinformowaniPL,11744,2,2
541,981217243819364353,LidiaGibadlo,1201,373,2429
542,1233295702211649536,travelwithm_,419,843,4929
543,281670182,jacektacik,8633,1038,639
544,948647362590887936,JanekKos13,12,99,164
545,2387189304,kmietek14,20,596,23355
546,82345943,TomekSurdel,4818,455,1719
547,1528283694,PolitykaInsight,17984,1375,1095
548,1856758237,RafalWos,15851,524,1858
549,3380008071,JachiraKlaudia,46960,601,7317
550,1460610653480230918,MartiiWP,0,52,0
551,994678463570350081,Maciej25098415,16,167,2735
552,347228796,D_Tarczynski,79031,5761,107673
553,923690300,jparafinowicz,4,33,3
554,1893649836,HannaStaszewska,665,2478,33648
555,3450315987,QortesKoz,63,367,4321
556,778267808832614400,senor_tgod,24,462,447
557,229487828,InstytutBoyma,3589,635,3521
558,1102099311234560000,Mustafa64195665,574,4243,13
559,3342951736,AmirIGM,7369,55,4717
560,1460660527743610885,daria9624,0,17,3
561,774807734046879744,jgerberpl,133,650,2551
562,1168144700991295489,RPDPawlak,5524,2322,0
563,106816685,StankArt,21,60,17
564,123657234,MartaSamburska,63,207,422
565,77230979,wirtualnemedia,48478,747,180
566,155581880,MuzeumWP,2411,177,35
567,1460657573208731653,DoroszWioletta,0,26,0
568,41992976,m_roszkowski,4958,1471,15330
569,68405620,FilipHorky,99334,5623,42744
570,6228302,pitdesi,40038,2724,51982
571,289844560,PogorzelskiP,3355,631,2870
572,905439995653226496,konkret24,13707,116,469
573,705007580465205248,FrondaLux,308,404,211
574,1043243430934183938,lukaszgrajewski,1206,207,1046
575,1429707895084552194,PiotrGil86,59,309,203
576,350770729,MSZ_RP,129077,459,2707
577,718470902904709120,PiotrZychowicz,14765,408,5516
578,1686244038,jarek3882,14,239,1837
579,347854282,kacperkw,339,1132,5451
580,760422928190144512,TauronPE,5280,2545,3315
581,1216413781791735808,MrTorden,169,485,24051
582,2851627096,suinglol,23,339,2388
583,1524903979,BojanowskiW,15653,407,7124
584,714002151475904512,jaksliwkawkompo,45,441,3769
585,2226942115,plocienniks,1212,374,2356
586,801230767,SzymonKrawiec,1594,383,1903
587,2951057998,pyton_1974,446,1195,14214
588,777181903,AndrzejBorowiak,477,451,264
589,3434774873,negocjant,2090,676,62822
590,988573326376427520,SecPompeo,2950194,47,10
591,1171466226,RStangreciak,613,110,52
592,21149655,ArthurSchwartz,99404,183,5081
